RatID,Group,Drug,IncubationGroup,ShActBin1,ShActBin2,ShActBin3,ShActBin4,ShActBin5,ShActBin6,ShActBin7,ShActBin8,ShActBin9,ShActBin10,ShActBin11,ShActBin12,ShActBin13,ShActBin14,ShInActBin1,ShInActBin2,ShInActBin3,ShInActBin4,ShInActBin5,ShInActBin6,ShInActBin7,ShInActBin8,ShInActBin9,ShInActBin10,ShInActBin11,ShInActBin12,ShInActBin13,ShInActBin14,cum_sh_Act1,cum_sh_Act2,cum_sh_Act3,cum_sh_Act4,cum_sh_Act5,cum_sh_Act6,cum_sh_Act7,cum_sh_Act8,cum_sh_Act9,cum_sh_Act10,cum_sh_Act11,cum_sh_Act12,cum_sh_Act13,cum_sh_Act14,cum_sh_Inact1,cum_sh_Inact2,cum_sh_Inact3,cum_sh_Inact4,cum_sh_Inact5,cum_sh_Inact6,cum_sh_Inact7,cum_sh_Inact8,cum_sh_Inact9,cum_sh_Inact10,cum_sh_Inact11,cum_sh_Inact12,cum_sh_Inact13,cum_sh_Inact14,LgActBin1,LgActBin2,LgActBin3,LgActBin4,LgActBin5,LgActBin6,LgActBin7,LgActBin8,LgActBin9,LgActBin10,LgActBin11,LgActBin12,LgActBin13,LgActBin14,LgInActBin1,LgInActBin2,LgInActBin3,LgInActBin4,LgInActBin5,LgInActBin6,LgInActBin7,LgInActBin8,LgInActBin9,LgInActBin10,LgInActBin11,LgInActBin12,LgInActBin13,LgInActBin14,cum_Lg_Act1,cum_Lg_Act2,cum_Lg_Act3,cum_Lg_Act4,cum_Lg_Act5,cum_Lg_Act6,cum_Lg_Act7,cum_Lg_Act8,cum_Lg_Act9,cum_Lg_Act10,cum_Lg_Act11,cum_Lg_Act12,cum_Lg_Act13,cum_Lg_Act14,cum_Lg_Inact1,cum_Lg_Inact2,cum_Lg_Inact3,cum_Lg_Inact4,cum_Lg_Inact5,cum_Lg_Inact6,cum_Lg_Inact7,cum_Lg_Inact8,cum_Lg_Inact9,cum_Lg_Inact10,cum_Lg_Inact11,cum_Lg_Inact12,cum_Lg_Inact13,cum_Lg_Inact14,cum_cue_ON_short_active,cum_cue_ON_short_inactive,cum_cue_ON_Lg_active,cum_cue_ON_Long_inactive,averageInfusion,AvLast5,AverageInactive,GluA1_Cal_Norm,GlurA2_Cal_Norm,mGlur1_Dim_Cal_Norm,mGlur5_Dim_Cal_Norm,GluA1_ICsal_Norm,GlurA2_ICsal_Norm,mGlur1_Dim_ICsal_Norm,mGlur5_Dim_ICsal_Norm,Ratio_GluA1_mGlur1,Ratio_GluA2_mGlur1,Ratio_GluA1_mGlur5,Ratio_GluA2_mGlur5
40,EC,AMP,Long,1,3,6,10,2,2,3,2,9,6,11,1,5,3,3,13,3,5,6,2,3,1,2,0,2,1,3,0,1,4,10,20,22,24,27,29,38,44,55,56,61,64,3,16,19,24,30,32,35,36,38,38,40,41,44,44,6,3,8,0,2,1,2,0,0,0,0,0,0,0,7,0,2,1,2,2,5,0,0,0,0,0,0,0,6,9,17,17,19,20,22,22,22,22,22,22,22,22,7,7,9,10,12,14,19,19,19,19,19,19,19,19,60,28,13,12,19.38,20.4,17.31,0.37,0.84,0.66,0.87,0.57,0.94,1.13,1.03,0.56,1.28,0.42,0.96
48,EC,AMP,Long,9,8,6,6,0,2,6,0,2,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,9,17,23,29,29,31,37,37,39,39,44,44,44,46,2,2,2,2,2,2,2,2,2,2,6,6,6,6,10,2,5,2,0,2,0,0,1,0,0,0,0,0,6,4,0,2,0,0,0,0,2,0,0,0,0,0,10,12,17,19,19,21,21,21,22,22,22,22,22,22,6,10,10,12,12,12,12,12,14,14,14,14,14,14,29,4,10,4,12.94,13,5.81,0.69,0.6,0.1,0.88,1.06,0.67,0.17,1.04,6.84,5.93,0.78,0.68
52,EC,AMP,Long,1,0,9,6,4,10,8,6,0,0,3,7,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,10,16,20,30,38,44,44,44,47,54,55,56,1,2,3,3,3,3,3,4,4,4,4,4,4,4,11,2,9,4,8,4,8,2,1,1,2,3,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,11,13,22,26,34,38,46,48,49,50,52,55,57,59,3,3,4,5,5,5,5,5,5,5,5,5,5,5,55,2,46,2,19.44,19.2,4.38,0.61,0.67,0.39,0.66,0.94,0.75,0.67,0.79,1.56,1.71,0.91,1.01
62,EC,AMP,Long,10,6,14,5,7,4,5,1,1,1,3,1,0,0,6,2,0,1,1,1,0,2,0,0,0,0,2,0,10,16,30,35,42,46,51,52,53,54,57,58,58,58,6,8,8,9,10,11,11,13,13,13,13,13,15,15,18,3,3,2,4,1,3,0,3,1,0,1,5,1,6,0,3,1,0,0,0,0,0,0,0,0,2,0,18,21,24,26,30,31,34,34,37,38,38,39,44,45,6,6,9,10,10,10,10,10,10,10,10,10,12,12,42,7,24,6,18.38,17.2,6.06,,,,,,,,,0,0,0,0
70,EC,AMP,Long,1,0,0,0,0,0,0,0,2,0,2,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,3,3,5,8,11,12,0,0,1,1,1,1,1,1,1,1,2,2,2,2,5,1,5,5,3,6,1,0,2,0,0,2,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,11,16,19,25,26,26,28,28,28,30,36,38,2,2,2,3,3,3,3,3,3,3,3,3,3,3,11,2,32,1,28.44,13.4,4,0.91,0.99,0.93,1.23,1.41,1.12,1.6,1.45,0.98,1.07,0.74,0.81
88,EC,AMP,Long,0,3,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,7,7,7,7,7,7,7,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,7,2,2,1,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,6,11,18,20,22,23,23,23,23,23,23,23,23,23,5,10,12,12,12,12,12,12,12,12,12,12,12,12,5,0,12,2,20,13.8,4.88,0.83,1.09,0.54,0.69,1.29,1.23,0.94,0.82,1.53,2,1.2,1.57
96,EC,AMP,Long,2,3,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,5,5,5,5,7,7,9,9,0,1,1,1,1,1,1,1,1,1,3,5,7,9,27,4,4,2,0,0,0,0,0,0,0,5,0,0,5,4,1,2,0,0,0,0,0,0,0,7,0,0,27,31,35,37,37,37,37,37,37,37,37,42,42,42,5,9,10,12,12,12,12,12,12,12,12,19,19,19,4,8,11,10,17.88,20.8,10.56,0.93,1.2,0.41,1.05,1.44,1.35,0.7,1.25,2.29,2.97,0.88,1.14
102,EC,AMP,Long,6,0,9,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,15,15,15,18,22,22,22,22,22,22,22,22,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16,0,4,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,20,23,23,23,25,25,25,25,25,25,25,25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,1,9,0,16.44,15.8,2,0.97,1.03,0.48,0.9,1.5,1.16,0.82,1.06,2.03,2.15,1.08,1.15
124,EC,AMP,Long,1,1,5,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,7,8,10,11,14,15,15,15,15,15,15,15,0,0,0,0,0,1,1,1,1,1,1,1,1,1,10,5,0,0,7,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,15,15,15,22,26,26,26,30,30,30,30,30,30,0,1,1,1,1,1,2,2,2,2,2,2,2,2,13,1,15,1,27.81,21,9.75,0.61,0.89,0.69,0.93,0.95,1,1.2,1.1,0.88,1.28,0.66,0.96
34,EC,AMP,Short,0,0,0,0,0,0,0,0,1,4,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,6,9,9,11,0,0,0,0,0,0,0,0,0,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,17.06,15,4.94,0.36,0.71,0.61,0.69,0.56,0.8,1.06,0.81,0.59,1.15,0.53,1.03
